route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
2510,3,,,T24_,3,,00608B,ffffff
2517,3,,,TC18,3,,00608B,ffffff
2134,3,,,TC17,3,,00608B,ffffff
2526,3,,,T21,3,,00608B,ffffff
2528,3,,,13-8,3,,00608B,ffffff
2354,3,,,19-8,3,,00608B,ffffff
2573,3,,,T14-7,3,,00608B,ffffff
2758,3,,,94,3,,00608B,ffffff
1912,3,,,94_,3,,00608B,ffffff
2291,3,,,107,3,,00608B,ffffff
